Rep,Oxygen,Treatment
1,8.323136,Mangrove
2,8.349824,Mangrove
3,8.342912,Mangrove
4,8.356032,Mangrove
5,8.349664,Mangrove
6,8.349376,Mangrove
7,8.363424,Mangrove
8,8.376096,Mangrove
9,8.3752,Mangrove
10,8.358976,Mangrove
11,8.3792,Mangrove
12,8.389248,Mangrove
13,8.372704,Mangrove
14,8.371168,Mangrove
15,8.390848,Mangrove
16,8.389184,Mangrove
17,8.420416,Mangrove
18,8.38352,Mangrove
19,8.380288,Mangrove
20,8.38176,Mangrove
21,8.38976,Mangrove
22,8.410304,Mangrove
23,8.35952,Mangrove
24,8.403104,Mangrove
25,8.402176,Mangrove
26,8.400064,Mangrove
27,8.420192,Mangrove
28,8.408896,Mangrove
29,8.41792,Mangrove
30,8.4288,Mangrove
31,8.426944,Mangrove
32,8.425376,Mangrove
33,8.418176,Mangrove
34,8.40992,Mangrove
35,8.415488,Mangrove
36,8.41248,Mangrove
37,8.423648,Mangrove
38,8.416928,Mangrove
39,8.450656,Mangrove
40,8.453952,Mangrove
41,8.489984,Mangrove
42,8.479968,Mangrove
43,8.474176,Mangrove
44,8.504064,Mangrove
45,8.489024,Mangrove
46,8.493824,Mangrove
47,8.49888,Mangrove
48,8.511296,Mangrove
49,8.504672,Mangrove
50,8.489152,Mangrove
51,8.498112,Mangrove
52,8.514848,Mangrove
53,8.54944,Mangrove
54,8.549824,Mangrove
55,8.496672,Mangrove
56,8.501472,Mangrove
57,8.525824,Mangrove
58,8.539392,Mangrove
59,8.52832,Mangrove
60,8.541472,Mangrove
61,8.542304,Mangrove
62,8.55424,Mangrove
63,8.54176,Mangrove
64,8.5176,Mangrove
65,8.519008,Mangrove
66,8.497376,Mangrove
67,8.485536,Mangrove
68,8.45328,Mangrove
69,8.430848,Mangrove
70,8.243328,Mangrove
71,8.065088,Mangrove
72,7.967872,Mangrove
73,7.782688,Mangrove
74,7.81408,Mangrove
75,7.799552,Mangrove
76,7.758656,Mangrove
77,7.740384,Mangrove
78,7.74272,Mangrove
79,7.707904,Mangrove
80,7.685312,Mangrove
81,7.683168,Mangrove
82,7.671136,Mangrove
83,7.62416,Mangrove
84,7.641472,Mangrove
85,7.63072,Mangrove
86,7.620192,Mangrove
87,7.589536,Mangrove
88,7.599712,Mangrove
89,7.589984,Mangrove
90,7.586336,Mangrove
91,7.604448,Mangrove
92,7.581312,Mangrove
93,7.562048,Mangrove
94,7.55024,Mangrove
95,7.615456,Mangrove
96,7.61392,Mangrove
97,7.821824,Mangrove
98,8.18528,Mangrove
99,8.471712,Mangrove
100,8.7256,Mangrove
101,8.675936,Mangrove
102,8.604928,Mangrove
103,9.648608,Mangrove
104,9.55936,Mangrove
105,9.764064,Mangrove
106,9.722944,Mangrove
107,9.72976,Mangrove
108,9.868608,Mangrove
109,10.007904,Mangrove
110,10.082368,Mangrove
111,10.0288,Mangrove
112,9.64512,Mangrove
113,9.357216,Mangrove
114,8.13344,Mangrove
115,8.202752,Mangrove
116,8.63792,Mangrove
117,8.349184,Mangrove
118,8.075328,Mangrove
119,8.025472,Mangrove
120,8.2784,Mangrove
121,8.042944,Mangrove
122,8.126432,Mangrove
123,8.060224,Mangrove
124,8.217376,Mangrove
125,8.458432,Mangrove
126,8.582304,Mangrove
127,8.593056,Mangrove
128,8.588992,Mangrove
129,8.570848,Mangrove
130,8.594496,Mangrove
131,8.571008,Mangrove
132,8.594848,Mangrove
133,8.567296,Mangrove
134,8.604224,Mangrove
135,8.58704,Mangrove
136,8.595008,Mangrove
137,8.574528,Mangrove
138,8.581056,Mangrove
139,8.596608,Mangrove
140,8.572064,Mangrove
141,8.587072,Mangrove
142,8.601536,Mangrove
143,8.596064,Mangrove
144,8.60368,Mangrove
145,8.602624,Mangrove
146,8.59184,Mangrove
147,8.585984,Mangrove
148,8.571872,Mangrove
149,8.537952,Mangrove
150,8.579264,Mangrove
151,8.54112,Mangrove
152,8.523584,Mangrove
153,8.543904,Mangrove
154,8.510144,Mangrove
155,8.53376,Mangrove
156,8.547776,Mangrove
157,8.520096,Mangrove
158,8.518528,Mangrove
159,8.502272,Mangrove
160,8.553408,Mangrove
161,8.529216,Mangrove
162,8.521504,Mangrove
163,8.481728,Mangrove
164,8.498272,Mangrove
165,8.466784,Mangrove
166,8.484352,Mangrove
167,8.472704,Mangrove
168,8.489408,Mangrove
169,8.482944,Mangrove
170,8.456224,Mangrove
171,8.474112,Mangrove
172,8.451552,Mangrove
173,8.430464,Mangrove
174,8.425632,Mangrove
175,8.430304,Mangrove
176,8.432032,Mangrove
177,8.42288,Mangrove
178,8.410816,Mangrove
179,8.429248,Mangrove
180,8.393824,Mangrove
181,8.381312,Mangrove
182,8.398976,Mangrove
183,8.386944,Mangrove
184,8.382656,Mangrove
185,8.388832,Mangrove
186,8.384736,Mangrove
187,8.360096,Mangrove
188,8.382336,Mangrove
189,8.357888,Mangrove
190,8.370016,Mangrove
191,8.362816,Mangrove
192,8.367424,Mangrove
193,8.36096,Mangrove
194,8.35344,Mangrove
195,8.342016,Mangrove
196,8.333504,Mangrove
197,8.32704,Mangrove
198,8.342528,Mangrove
199,8.336224,Mangrove
200,8.328064,Mangrove
201,8.316192,Mangrove
202,8.336736,Mangrove
203,8.3072,Mangrove
204,8.311424,Mangrove
205,8.30704,Mangrove
206,8.311776,Mangrove
207,8.296032,Mangrove
208,8.290944,Mangrove
209,8.302272,Mangrove
210,8.294496,Mangrove
211,8.269184,Mangrove
212,8.29584,Mangrove
213,8.275424,Mangrove
214,8.278784,Mangrove
215,8.266976,Mangrove
216,8.258592,Mangrove
217,8.25472,Mangrove
218,8.2304,Mangrove
219,8.271552,Mangrove
220,8.236256,Mangrove
221,8.246144,Mangrove
222,8.22336,Mangrove
223,8.226528,Mangrove
224,8.234752,Mangrove
225,8.235424,Mangrove
226,8.222528,Mangrove
227,8.215008,Mangrove
228,8.22704,Mangrove
229,8.199488,Mangrove
230,8.201632,Mangrove
231,8.210144,Mangrove
232,8.19648,Mangrove
233,8.151648,Mangrove
234,8.186816,Mangrove
235,8.11552,Mangrove
236,8.10976,Mangrove
237,8.095296,Mangrove
238,8.133152,Mangrove
239,8.13744,Mangrove
240,8.118304,Mangrove
241,8.111424,Mangrove
242,8.101728,Mangrove
243,8.093024,Mangrove
244,8.062912,Mangrove
245,8.064896,Mangrove
246,8.034112,Mangrove
247,7.988768,Mangrove
248,7.976832,Mangrove
249,7.972032,Mangrove
250,7.918016,Mangrove
251,7.882688,Mangrove
252,7.889216,Mangrove
253,7.85072,Mangrove
254,7.862592,Mangrove
255,7.84224,Mangrove
256,7.809344,Mangrove
257,7.811232,Mangrove
258,7.792928,Mangrove
259,7.800288,Mangrove
260,7.818944,Mangrove
261,7.768896,Mangrove
262,7.748672,Mangrove
263,7.736256,Mangrove
264,7.71952,Mangrove
265,7.672512,Mangrove
266,7.678816,Mangrove
267,7.636896,Mangrove
268,7.61376,Mangrove
269,7.615264,Mangrove
270,7.59344,Mangrove
271,7.596288,Mangrove
272,7.58944,Mangrove
273,7.573312,Mangrove
274,7.569856,Mangrove
275,7.58128,Mangrove
276,7.537632,Mangrove
277,7.541696,Mangrove
278,7.534784,Mangrove
279,7.51008,Mangrove
280,7.50528,Mangrove
281,7.501312,Mangrove
282,7.454304,Mangrove
283,7.445056,Mangrove
284,7.443296,Mangrove
285,7.478688,Mangrove
286,7.407936,Mangrove
287,7.393408,Mangrove
288,7.395328,Mangrove
289,7.337312,Mangrove
290,7.340128,Mangrove
291,7.33808,Mangrove
292,7.328864,Mangrove
293,7.312064,Mangrove
294,7.308448,Mangrove
295,7.301472,Mangrove
296,7.265824,Mangrove
297,7.246336,Mangrove
298,7.229088,Mangrove
299,7.209184,Mangrove
300,7.200128,Mangrove
301,7.195616,Mangrove
302,7.189792,Mangrove
303,7.132192,Mangrove
304,7.118464,Mangrove
305,7.110784,Mangrove
306,7.098496,Mangrove
307,7.076096,Mangrove
308,7.061408,Mangrove
309,7.04288,Mangrove
310,7.016192,Mangrove
311,6.995008,Mangrove
312,7.000224,Mangrove
313,6.961344,Mangrove
314,6.94336,Mangrove
315,6.91792,Mangrove
316,6.901632,Mangrove
317,6.896256,Mangrove
318,6.867904,Mangrove
319,6.873152,Mangrove
320,6.848832,Mangrove
321,6.821504,Mangrove
322,6.800384,Mangrove
323,6.761184,Mangrove
324,6.743264,Mangrove
325,6.732256,Mangrove
326,6.692576,Mangrove
327,6.668096,Mangrove
328,6.63472,Mangrove
329,6.625248,Mangrove
330,6.619488,Mangrove
331,6.591488,Mangrove
332,6.588512,Mangrove
333,6.557888,Mangrove
334,6.544992,Mangrove
335,6.518624,Mangrove
336,6.51536,Mangrove
337,6.51488,Mangrove
338,6.499456,Mangrove
339,6.43888,Mangrove
340,6.418176,Mangrove
341,6.3992,Mangrove
342,6.417568,Mangrove
343,6.3896,Mangrove
344,6.35264,Mangrove
345,6.328736,Mangrove
346,6.303776,Mangrove
347,6.28208,Mangrove
348,6.261088,Mangrove
349,6.250496,Mangrove
350,6.217088,Mangrove
351,6.195168,Mangrove
352,6.169632,Mangrove
353,6.13552,Mangrove
354,6.130176,Mangrove
355,6.12912,Mangrove
356,6.107168,Mangrove
357,6.100448,Mangrove
358,6.080992,Mangrove
359,6.081184,Mangrove
360,6.06864,Mangrove
361,6.061312,Mangrove
362,6.044032,Mangrove
363,6.021024,Mangrove
364,5.983008,Mangrove
365,5.952032,Mangrove
366,5.917504,Mangrove
367,5.909056,Mangrove
368,5.87088,Mangrove
369,5.863776,Mangrove
370,5.832384,Mangrove
371,5.827648,Mangrove
372,5.795584,Mangrove
373,5.774944,Mangrove
374,5.765536,Mangrove
375,5.750368,Mangrove
376,5.744992,Mangrove
377,5.715712,Mangrove
378,5.689184,Mangrove
379,5.676032,Mangrove
380,5.670912,Mangrove
381,5.65904,Mangrove
382,5.636032,Mangrove
383,5.616544,Mangrove
384,5.594464,Mangrove
385,5.587296,Mangrove
386,5.576352,Mangrove
387,5.561888,Mangrove
388,5.555968,Mangrove
389,5.5328,Mangrove
390,5.504864,Mangrove
391,5.499168,Mangrove
392,5.487264,Mangrove
393,5.477216,Mangrove
394,5.451488,Mangrove
395,5.46608,Mangrove
396,5.446176,Mangrove
397,5.434656,Mangrove
398,5.410976,Mangrove
399,5.408448,Mangrove
400,5.404096,Mangrove
401,5.384512,Mangrove
402,5.381408,Mangrove
403,5.36144,Mangrove
404,5.352608,Mangrove
405,5.354336,Mangrove
406,5.337984,Mangrove
407,5.332096,Mangrove
408,5.331392,Mangrove
409,5.322176,Mangrove
410,5.307552,Mangrove
411,5.296448,Mangrove
412,5.287136,Mangrove
413,5.280704,Mangrove
414,5.272384,Mangrove
415,5.253504,Mangrove
416,5.236672,Mangrove
417,5.22064,Mangrove
418,5.220096,Mangrove
419,5.208384,Mangrove
420,5.20064,Mangrove
421,5.191232,Mangrove
422,5.190592,Mangrove
423,5.180352,Mangrove
424,5.173472,Mangrove
425,5.162848,Mangrove
426,5.165184,Mangrove
427,5.158368,Mangrove
428,5.183136,Mangrove
429,5.224896,Mangrove
430,5.25264,Mangrove
431,5.248384,Mangrove
432,5.280128,Mangrove
433,5.24192,Mangrove
434,5.216224,Mangrove
435,5.239136,Mangrove
436,5.2104,Mangrove
437,5.24352,Mangrove
438,5.259712,Mangrove
439,5.224384,Mangrove
440,5.221856,Mangrove
441,5.181856,Mangrove
442,5.192224,Mangrove
443,5.180864,Mangrove
444,5.1952,Mangrove
445,5.189888,Mangrove
446,5.187424,Mangrove
447,5.18256,Mangrove
448,5.196704,Mangrove
449,5.22144,Mangrove
450,5.27472,Mangrove
451,5.19936,Mangrove
452,5.201408,Mangrove
453,5.197824,Mangrove
454,5.145792,Mangrove
455,5.159232,Mangrove
456,5.153504,Mangrove
457,5.126272,Mangrove
458,5.169248,Mangrove
459,5.155616,Mangrove
460,5.150592,Mangrove
461,5.104128,Mangrove
462,5.12624,Mangrove
463,5.151392,Mangrove
464,5.099136,Mangrove
465,5.067584,Mangrove
466,5.062016,Mangrove
467,5.022976,Mangrove
468,5.01312,Mangrove
469,4.997376,Mangrove
470,5.021952,Mangrove
471,5.007136,Mangrove
472,4.995744,Mangrove
473,4.999584,Mangrove
474,4.994528,Mangrove
475,5.001216,Mangrove
476,5.029472,Mangrove
477,5.01776,Mangrove
478,4.985184,Mangrove
479,4.9728,Mangrove
480,4.958368,Mangrove
481,4.958912,Mangrove
482,4.456896,Mangrove
483,4.47936,Mangrove
484,4.451072,Mangrove
485,4.419872,Mangrove
486,4.428992,Mangrove
487,4.958528,Mangrove
488,4.943744,Mangrove
489,4.947008,Mangrove
490,4.94832,Mangrove
491,4.921792,Mangrove
492,5.021312,Mangrove
493,4.953632,Mangrove
494,4.966528,Mangrove
495,4.896512,Mangrove
496,4.96496,Mangrove
497,4.95872,Mangrove
498,4.969728,Mangrove
499,5.05696,Mangrove
500,5.007808,Mangrove
501,5.055648,Mangrove
502,5.065824,Mangrove
503,5.138592,Mangrove
504,5.151904,Mangrove
505,5.331584,Mangrove
506,5.199904,Mangrove
507,5.19264,Mangrove
508,5.054784,Mangrove
509,5.38912,Mangrove
510,5.309472,Mangrove
511,5.567424,Mangrove
512,5.832288,Mangrove
513,6.72336,Mangrove
514,7.671008,Mangrove
515,7.719104,Mangrove
516,7.743328,Mangrove
517,7.753312,Mangrove
518,7.7976,Mangrove
519,7.823872,Mangrove
520,7.85008,Mangrove
521,7.844064,Mangrove
522,7.819456,Mangrove
523,7.854464,Mangrove
