PO2,VO2
99.105,
97.237,0.146449188
96.208,0.346428079
95.267,0.290878387
94.662,0.203682204
93.561,0.370667945
92.663,0.30232499
91.544,0.376727911
90.891,0.219842114
90.037,0.287511739
89,0.349121398
88.194,0.271351829
87.339,0.287848404
86.002,0.450120838
85.333,0.225228751
84.087,0.419484341
83.538,0.184828975
82.249,0.433960927
81.509,0.249131952
80.605,0.304344979
79.466,0.383461207
78.715,0.252835265
77.867,0.28549175
77.117,0.2524986
75.875,0.418137682
74.781,0.368311291
74.109,0.226238746
73.011,0.36965795
71.931,0.363597984
71.189,0.249805282
70.129,0.356864688
69.271,0.288858398
68.287,0.331278163
67.099,0.399957782
66.097,0.33733813
65.507,0.198632232
63.071,0.331278163
62.248,0.27707513
61.283,0.324881532
60.47,0.273708482
59.253,0.409721062
58.282,0.326901521
57.554,0.245091974
56.585,0.326228191
55.707,0.295591694
54.639,0.359558006
53.812,0.27842179
52.928,0.297611683
51.865,0.357874682
50.884,0.330268169
50.015,0.292561711
49.69,0.10941606
48.511,0.396927799
47.514,0.335654806
46.789,0.24408198
45.645,0.385144531
44.716,0.312761599
44.016,0.23566536
42.977,0.349794727
42.211,0.257885237
41.03,0.397601129
39.718,0.441704218
39.385,0.112109378
38.235,0.38716452
37.242,0.334308146
36.428,0.274045147
35.07,0.457190798
34.477,0.199642226
33.193,0.432277603
32.498,0.233982036
31.36,0.383124542
30.377,0.330941498
29.48,0.301988326
28.237,0.418474346
27.318,0.309394951
26.482,0.281451773
25.526,0.321851549
24.585,0.316801577
23.61,0.32824818
22.701,0.306028303
21.613,0.366291302
20.732,0.296601689
19.845,0.298621678
18.93,0.308048292
17.891,0.349794727
17.008,0.297275018
16.179,0.279095119
15.138,0.350468057
14.317,0.276401801
13.258,0.356528023
12.462,0.267985181
11.437,0.34508142
10.43,0.339021454
9.686,0.250478611
9.045,0.215802137
8.403,0.216138802
7.835,0.191225606
6.973,0.290205058
6.306,0.224555422
5.529,0.26158855
4.903,0.210752165
4.25,0.219842114
3.509,0.249468617
2.91,0.201662215
2.103,0.271688494
1.675,0.144092534
1.038,0.214455478
0.583,0.153182484
