PO2,VO2
100.46,
99.751,0.23814913
97.511,0.752403456
97.827,
96.417,0.473611104
94.236,0.732585686
92.872,0.458159962
91.703,0.392660554
89.991,0.575051213
87.905,0.700675718
86.335,0.527354208
84.926,0.47327521
83.556,0.460175328
81.615,0.65197103
80.077,0.516605587
78.847,0.413150112
77.023,0.612671386
75.33,0.568669219
73.968,0.457488173
72.33,0.550195027
70.911,0.476634154
69.204,0.573371741
67.931,0.427593571
65.84,0.70235519
64.832,0.338581555
63.187,0.552546288
61.515,0.561615437
59.676,0.617709802
58.099,0.529705469
57.032,0.358399325
55.455,0.529705469
53.896,0.52365937
51.886,0.675147744
50.572,0.441365242
48.877,0.569341008
47.698,0.396019498
45.876,0.611999597
44.447,0.479993098
42.591,0.623420006
41.115,0.495780134
39.421,0.569005114
38.002,0.476634154
36.547,0.488726352
35.139,0.472939315
33.734,0.471931632
32.22,0.508544122
31.02,0.40307328
29.516,0.505185178
28.201,0.441701136
26.67,0.514254326
25.41,0.423226944
24.25,0.389637504
22.752,0.503169811
21.578,0.394340026
19.994,0.53205673
18.801,0.400722019
17.476,0.44506008
16.211,0.424906416
14.879,0.447411341
13.502,0.462526589
12.273,0.412814218
10.878,0.468572688
9.4523,0.478884646
8.337,0.374623024
7.25,0.365117213
6.179,0.359742902
5.3007,0.295016052
4.519,0.262568652
3.892,0.210605789
3.2143,0.227635635
2.73,0.162673658
2.2583,0.158441388
1.8813,0.126632189
1.4903,0.13133471
1.2937,0.066036839
0.99967,0.09876303
0.669,0.111070201
0.2995,0.124112981
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
