PO2,VO2
100.9,
97.452,1.155507552
93.339,1.378365012
90.411,0.981243072
88.251,0.72386784
85.781,0.82775628
84.16,0.543236004
81.855,0.77246082
79.212,0.885732732
77.36,0.620649648
75.227,0.714819492
73.295,0.647459568
71.15,0.71884098
68.875,0.7624071
66.685,0.73392156
64.572,0.708117012
62.702,0.62668188
60.529,0.728224452
58.321,0.739953792
56.109,0.741294288
54.358,0.586802124
52.071,0.766428588
49.836,0.74900214
47.574,0.758050488
45.741,0.614282292
43.853,0.632714112
41.746,0.706106268
40.032,0.574402536
38.112,0.64343808
36.393,0.576078156
34.445,0.652821552
32.693,0.587137248
31.003,0.56635956
29.355,0.552284352
27.626,0.579429396
25.99,0.548262864
24.162,0.612606672
22.405,0.588812868
20.938,0.491626908
19.366,0.526814928
17.822,0.517431456
16.483,0.448731036
15.008,0.4943079
13.694,0.440352936
12.442,0.419575248
11.075,0.458114508
9.8173,0.421485455
8.7503,0.357577308
7.8267,0.309520526
6.9203,0.303756394
6.157,0.255800149
5.324,0.279158292
4.638,0.229895064
4.0387,0.200839813
3.4797,0.187334316
2.9263,0.185457622
2.5237,0.134920922
2.1403,0.128486542
1.7977,0.114813482
1.511,0.096080051
1.2433,0.089712695
1.0877,0.052145294
0.92333,0.055084332
0.71033,0.071381412
0.57267,0.04613317
0.51267,0.02010744
0.34833,0.055074278
0.24467,0.034738954
0.14467,0.0335124
0.065667,0.026475801
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
